WigleWifi-1.6,appRelease=v1.9.1,model=M5Stack GPS Unit,release=v1.9.1,device=ESP32 M5Stack,display=SPI TFT,board=ESP32 M5Stack,brand=Bruce,star=Sol,body=4,subBody=1
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
54:BE:53:7A:DA:CC,H369A7ADACB,[WPA2_PSK],2025-04-09 10:20:49,1,2412,-80,52.082211,4.351589,66.200000,7.100000,,,WIFI
48:D3:43:89:94:51,SICKO MODEM,[WPA2_PSK],2025-04-09 10:20:49,11,2462,-80,52.082211,4.351589,66.200000,7.100000,,,WIFI
16:49:BC:46:9A:F0,BudgetThuis-769AF0,[WPA2_WPA3_PSK],2025-04-09 10:20:49,2,2417,-82,52.082211,4.351589,66.200000,7.100000,,,WIFI
AC:F8:CC:EB:02:82,marshearsh,[WPA2_PSK],2025-04-09 10:20:49,1,2412,-83,52.082211,4.351589,66.200000,7.100000,,,WIFI
D4:1A:D1:6F:EB:D9,TMNL-6FEBD9,[WPA2_WPA3_PSK],2025-04-09 10:20:49,11,2462,-84,52.082211,4.351589,66.200000,7.100000,,,WIFI
62:DC:81:AC:83:D6,phi_449808D69F1E,[WPA2_PSK],2025-04-09 10:20:49,1,2412,-85,52.082211,4.351589,66.200000,7.100000,,,WIFI
CC:32:E5:12:5A:6A,MijnNetwerk,[WPA2_PSK],2025-04-09 10:20:49,5,2432,-85,52.082211,4.351589,66.200000,7.100000,,,WIFI
5A:D3:43:89:94:51,Ziggo,[WPA2_ENTERPRISE],2025-04-09 10:20:49,11,2462,-85,52.082211,4.351589,66.200000,7.100000,,,WIFI
60:A4:B7:0C:07:62,belial666,[WPA2_PSK],2025-04-09 10:20:49,13,2472,-85,52.082211,4.351589,66.200000,7.100000,,,WIFI
AE:F8:CC:EB:02:92,Ziggo,[WPA2_ENTERPRISE],2025-04-09 10:20:49,1,2412,-86,52.082211,4.351589,66.200000,7.100000,,,WIFI
CC:32:E5:12:55:AE,MijnNetwerk,[WPA2_PSK],2025-04-09 10:20:49,5,2432,-86,52.082211,4.351589,66.200000,7.100000,,,WIFI
88:AC:C0:C9:B9:51,TMNL-C9B951,[WPA2_PSK],2025-04-09 10:20:49,1,2412,-87,52.082211,4.351589,66.200000,7.100000,,,WIFI
CC:32:E5:12:55:B2,MijnNetwerk,[WPA2_PSK],2025-04-09 10:20:49,5,2432,-87,52.082211,4.351589,66.200000,7.100000,,,WIFI
7C:F1:7E:E9:7D:68,TP-Link_7D68,[WPA_WPA2_PSK],2025-04-09 10:20:49,9,2452,-87,52.082211,4.351589,66.200000,7.100000,,,WIFI
D6:86:60:1A:97:21,H369A7C0206_Gast,[WPA2_PSK],2025-04-09 10:20:49,1,2412,-89,52.082211,4.351589,66.200000,7.100000,,,WIFI
B6:A7:B9:6D:2F:AA,WK Guest,[WPA2_PSK],2025-04-09 10:20:49,5,2432,-89,52.082211,4.351589,66.200000,7.100000,,,WIFI
5A:D3:43:4A:5D:91,Ziggo,[WPA2_ENTERPRISE],2025-04-09 10:20:49,1,2412,-90,52.082211,4.351589,66.200000,7.100000,,,WIFI
00:31:92:C4:29:CA,Ziggo3994571,[WPA2_PSK],2025-04-09 10:20:49,2,2417,-90,52.082211,4.351589,66.200000,7.100000,,,WIFI
D4:3D:F3:C2:40:89,TMNL-C24089,[WPA2_WPA3_PSK],2025-04-09 10:20:49,11,2462,-90,52.082211,4.351589,66.200000,7.100000,,,WIFI
F6:57:40:DA:AD:88,Ziggo,[WPA2_ENTERPRISE],2025-04-09 10:20:49,11,2462,-90,52.082211,4.351589,66.200000,7.100000,,,WIFI
B6:A7:B9:6D:2F:92,WK Guest,[WPA2_PSK],2025-04-09 10:20:49,5,2432,-92,52.082211,4.351589,66.200000,7.100000,,,WIFI
AC:22:05:84:6D:ED,Ziggo8F49685,[WPA2_PSK],2025-04-09 10:20:49,11,2462,-92,52.082211,4.351589,66.200000,7.100000,,,WIFI
90:5C:44:0A:3C:3F,Shemgang,[WPA2_PSK],2025-04-09 10:20:49,11,2462,-92,52.082211,4.351589,66.200000,7.100000,,,WIFI
72:5A:B0:1D:81:9A,ZurGuest,[WPA2_PSK],2025-04-09 10:20:49,12,2467,-94,52.082211,4.351589,66.200000,7.100000,,,WIFI
7C:77:16:23:BC:71,TMNL-23BC71,[WPA2_PSK],2025-04-09 10:21:01,6,2437,-78,52.082326,4.351993,63.900000,7.100000,,,WIFI
48:D3:43:4A:5D:91,Ziggo8192818,[WPA2_PSK],2025-04-09 10:21:01,1,2412,-79,52.082326,4.351993,63.900000,7.100000,,,WIFI
D4:86:60:0A:97:21,H369A7C0206,[WPA2_PSK],2025-04-09 10:21:01,1,2412,-80,52.082326,4.351993,63.900000,7.100000,,,WIFI
AE:22:15:62:3C:06,Ziggo,[WPA2_ENTERPRISE],2025-04-09 10:21:01,11,2462,-80,52.082326,4.351993,63.900000,7.100000,,,WIFI
D4:1A:D1:76:F8:09,TMNL-76F809,[WPA2_WPA3_PSK],2025-04-09 10:21:01,6,2437,-81,52.082326,4.351993,63.900000,7.100000,,,WIFI
CC:D4:2E:9A:12:CB,H369A97DA1E,[WPA2_PSK],2025-04-09 10:21:01,1,2412,-82,52.082326,4.351993,63.900000,7.100000,,,WIFI
AE:22:15:4E:2A:BD,Ziggo,[WPA2_ENTERPRISE],2025-04-09 10:21:01,11,2462,-82,52.082326,4.351993,63.900000,7.100000,,,WIFI
AC:22:05:62:3C:06,Netwerkthuis,[WPA2_PSK],2025-04-09 10:21:01,11,2462,-83,52.082326,4.351993,63.900000,7.100000,,,WIFI
34:DA:B7:8E:26:14,H369A8E2613,[WPA2_PSK],2025-04-09 10:21:01,1,2412,-84,52.082326,4.351993,63.900000,7.100000,,,WIFI
92:5C:14:0A:3C:3F,Ziggo,[WPA2_ENTERPRISE],2025-04-09 10:21:01,11,2462,-84,52.082326,4.351993,63.900000,7.100000,,,WIFI
5C:64:8E:07:30:B1,TMNL-0730B1,[WPA2_PSK],2025-04-09 10:21:01,6,2437,-85,52.082326,4.351993,63.900000,7.100000,,,WIFI
D4:1A:D1:98:A4:0F,Odido-98A40F,[WPA2_WPA3_PSK],2025-04-09 10:21:01,11,2462,-86,52.082326,4.351993,63.900000,7.100000,,,WIFI
D4:1A:D1:70:EE:09,TMNL-70EE09,[WPA2_WPA3_PSK],2025-04-09 10:21:01,6,2437,-87,52.082326,4.351993,63.900000,7.100000,,,WIFI
D4:86:60:0D:C8:E9,H369A7C0206,[WPA2_PSK],2025-04-09 10:21:01,1,2412,-88,52.082326,4.351993,63.900000,7.100000,,,WIFI
20:B8:2B:1C:AD:E0,Ziggo2491486,[WPA2_PSK],2025-04-09 10:21:01,6,2437,-88,52.082326,4.351993,63.900000,7.100000,,,WIFI
AE:15:A2:20:87:EE,MichielDeRouyter,[WPA2_PSK],2025-04-09 10:21:01,10,2457,-89,52.082326,4.351993,63.900000,7.100000,,,WIFI
68:02:B8:B4:FC:D1,Ziggo8938813,[WPA2_PSK],2025-04-09 10:21:01,11,2462,-89,52.082326,4.351993,63.900000,7.100000,,,WIFI
6A:02:98:B4:FC:D1,Ziggo,[WPA2_ENTERPRISE],2025-04-09 10:21:01,11,2462,-89,52.082326,4.351993,63.900000,7.100000,,,WIFI
18:35:D1:FC:CE:E1,Ziggo5567223,[WPA2_PSK],2025-04-09 10:21:01,1,2412,-90,52.082326,4.351993,63.900000,7.100000,,,WIFI
22:CF:0E:00:34:0A,Ziggo9906186,[WPA2_PSK],2025-04-09 10:21:01,1,2412,-90,52.082326,4.351993,63.900000,7.100000,,,WIFI
6C:5A:B0:8D:2C:A6,Deco,[WPA2_PSK],2025-04-09 10:21:01,4,2427,-90,52.082326,4.351993,63.900000,7.100000,,,WIFI
60:A4:B7:0C:0D:42,belial666,[WPA2_PSK],2025-04-09 10:21:01,13,2472,-90,52.082326,4.351993,63.900000,7.100000,,,WIFI
